Nit|GESTOR|N°|COD. SUC|DEPARTAMENTO|CIUDAD / MUNICIPIO|"TIPOLOGIA (PROPIA/ALIADA)"|DANE|NOMBRE DE LA FARMACIA|DIRECCIÓN DE CONTACTO|TIPO DE ATENCIÓN FISICO/DOMICILIO|CANAL DOMICILIO|TELEFONO DE CONTACTO|HORARIO ATENCIÓN|DISPENSACIÓN DE MEDICAMENTOS REFRIGERADOS (S/N)|DISPENSACIÓN DE MEDICAMENTOS DE CONTROL ESPECIAL (S/N)|DISPENSACIÓN DE MEDICAMENTOS ALTO COSTO (S/N)|TUTELA (S/N)|NO PBS|PBS|COBERTURA|PLAN PREMIUM|ATENCION 24 HORAS (S/N)|DOMINGOS/ FESTIVOS(S/N)|NOVEDADES EN PUNTOS|LATITUD|LONGITUD|CAJAS
900716566|INSUMEDIC|11|25019_11|CUNDINAMARCA|ALBÁN|ALIADA|25019|ALIADA_DROGUERÍA SERVIFARMA|CARRERA 3 # 2 56 BARRIO ALBAN|PUNTO FÍSICO|NO APLICA|3212341969|L a V 8:00am 5:00pm S 8:00am 12:00pm|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||4° 52' 42''|-744383|1
900331412|GENHOSPI|12|52019_12|NARIÑO|ALBÁN|ALIADA|52019|ALIADA_DROGUERIA SCC VITAL|BARRIO SUR ALBAN|PUNTO FÍSICO|3102870796 - 3218896083|6027316719|L a V 7:00 12am 2 pm 5:00pm S 8 12 Pm|NO|NO|NO|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||1478276655|7707917619|1
892300678|​ETICOS|13|44035_13|LA GUAJIRA|ALBANIA|PROPIA|44035|DISPENSARIO ETICOS NO 3070|CARRERA 5 # 4-45|PUNTO FÍSICO|NO APLICA|3166978390|L a V 8:00AM A 12:00 M Y 2:00PM A 6:00 PM S 8:00 AM - 12:00 PM|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||SD|SD|2
892300678|​ETICOS|13|44035_13|LA GUAJIRA|ALBANIA|PROPIA|44035|DISPENSARIO ETICOS NO 4082|LA MINA|PUNTO FÍSICO|NO APLICA|3177493090|L a V 8:00AM A 12:00 M Y 2:00PM A 6:00 PM S 8:00 AM - 12:00 PM|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||SD|SD|1
892300678|​ETICOS|13|44035_13|LA GUAJIRA|ALBANIA|PROPIA|44035|LA ECONOMIA DROGUERIA N 9001-9002|CENTRO COMERCIAL MAKUIRA LOCAL 6 - LA MINA|PUNTO FÍSICO|NO APLICA|3182804973 - 7774323|L a V 8:00 AM A 9:00 PM S 8:00 AM A 9:00 PM|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||SD|SD|1
828002423|DISCOLMETS|14|41020_14|HUILA|ALGECIRAS|PROPIA|41020|S.F ALGECIRAS|CR 5 # 6 63 CENTRO|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|L a V 8:00 A 1:00 PM 2:30 PM A 6:00 PM S 8:00 pm -11:00 am|SI|NO|NO|SI|SI|SI|PBS Y NO PBS|SI|NO|SI|CENTRO POBLADO|SD||1
828002423|DISCOLMETS|16|41026_16|HUILA|ALTAMIRA|ALIADA|41026|CONV_ALTAMIRA|CALLE 7 # 5 53|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|L a V 8:00am 1:00 PM 2:00 6 :00pm S 8:00am 12:00pm|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||7.9833° N|72.6333° O|1
900994906|HUMSALUD|17|27025_17|CHOCÓ|ALTO BAUDÓ|ALIADA|27025|Drogueria Niña Yudy|CABECERA MUNICIPAL PIE DE PATO / BARRIO LA UNIÓN|PUNTO FÍSICO|NO APLICA|6046713652|L a V 7:00 am 5:00 pm S 7:00am 1:00pm|SI|SI|NO|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||7.8333° N|72.8333° O|1
900331412|GENHOSPI|18|52036_18|NARIÑO|ANCUYA|PROPIA|52036|SF GENHOSPI _ANCUYA|CALLE 3 # 1 - 37 BARRIO LIBERTAD|PUNTO FÍSICO|NO APLICA|6027316719|L a J 8:00 -1:00 Pm 2:00 Pm-5:00 Pm V 8:00-1:00pm -2:00 Pm- 4:30 Pm S 8:00 12:00 Pm|SI|SI|NO|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||1261560163|775147251|1
828002423|DISCOLMETS|19|15047_19|BOYACÁ|AQUITANIA|PROPIA|15047|S.F AQUITANIA|CARRERA 8 # 06-03|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|L a V 8:00 AM 12:00 PM 2:00 PM - 5:00PM S 8:00 am 11:00 am|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||7.8939° N|72.5078° O|2
